"Amtlicher
Regional-
schlüssel (ARS)","Amtlicher
Gemeinde-schlüssel (AGS)"
1001,
10010000000,1001000
1002,
10020000000,1002000
1003,
10030000000,1003000
1004,
10040000000,1004000
1051,
10510011011,1051011
10510044044,1051044
10515163,
10515163003,1051003
10515163010,1051010
10515163012,1051012
10515163016,1051016
10515163022,1051022
10515163024,1051024
10515163026,1051026
10515163032,1051032
10515163037,1051037
10515163051,1051051
10515163064,1051064
10515163089,1051089
10515163097,1051097
10515163110,1051110
10515166,
10515166021,1051021
10515166034,1051034
10515166046,1051046
10515166057,1051057
10515166062,1051062
10515166072,1051072
10515166073,1051073
10515166076,1051076
10515166077,1051077
10515166090,1051090
10515166103,1051103
10515166118,1051118
10515166119,1051119
10515169,
10515169005,1051005
10515169008,1051008
10515169019,1051019
10515169020,1051020
10515169023,1051023
10515169030,1051030
10515169035,1051035
10515169036,1051036
10515169038,1051038
10515169047,1051047
10515169049,1051049
10515169052,1051052
10515169053,1051053
10515169058,1051058
10515169060,1051060
10515169061,1051061
10515169065,1051065
10515169068,1051068
10515169071,1051071
10515169080,1051080
10515169088,1051088
10515169092,1051092
10515169096,1051096
10515169100,1051100
10515169102,1051102
10515169114,1051114
10515169117,1051117
10515169120,1051120
10515169125,1051125
10515169131,1051131
10515169133,1051133
10515169136,1051136
10515169139,1051139
10515169141,1051141
10515172,
10515172048,1051048
10515172067,1051067
10515172069,1051069
10515172075,1051075
10515172081,1051081
10515172082,1051082
10515172087,1051087
10515172107,1051107
10515172113,1051113
10515172122,1051122
10515172130,1051130
10515175,
10515175001,1051001
10515175002,1051002
10515175004,1051004
10515175006,1051006
10515175015,1051015
10515175017,1051017
10515175027,1051027
10515175028,1051028
10515175039,1051039
10515175054,1051054
10515175063,1051063
10515175074,1051074
10515175078,1051078
10515175083,1051083
10515175085,1051085
10515175086,1051086
10515175098,1051098
10515175099,1051099
10515175104,1051104
10515175126,1051126
10515175134,1051134
10515175135,1051135
10515175137,1051137
10515175138,1051138
10515178,
10515178013,1051013
10515178014,1051014
10515178033,1051033
10515178043,1051043
10515178045,1051045
